year,circuit,fastestLap,lap,avglap,podium
2014,"Albert Park Grand Prix Circuit",19,19,92478,1
2014,"Autódromo José Carlos Pace",62,62,73555,1
2014,"Autodromo Nazionale di Monza",29,29,88004,1
2014,"Bahrain International Circuit",49,49,97020,1
2014,"Circuit de Barcelona-Catalunya",55,55,88918,1
2014,"Circuit de Spa-Francorchamps",36,36,110511,1
2014,"Circuit of the Americas",50,50,101379,1
2014,Hockenheimring,53,53,79908,1
2014,Hungaroring,64,64,85724,1
2014,"Marina Bay Street Circuit",39,39,110417,1
2014,"Red Bull Ring",59,59,72142,1
2014,"Sepang International Circuit",53,53,103066,1
2014,"Shanghai International Circuit",39,39,100402,1
2014,"Silverstone Circuit",26,26,97176,1
2014,"Sochi Autodrom",53,53,100896,1
2014,"Suzuka Circuit",39,39,111600,1
2014,"Yas Marina Circuit",50,50,104496,1
2015,"Albert Park Grand Prix Circuit",50,50,90945,1
2015,"Autódromo Hermanos Rodríguez",67,67,80521,1
2015,"Autódromo José Carlos Pace",51,51,74832,1
2015,"Autodromo Nazionale di Monza",48,48,86672,1
2015,"Bahrain International Circuit",42,42,96311,1
2015,"Circuit de Barcelona-Catalunya",54,54,88270,1
2015,"Circuit de Monaco",74,74,78063,1
2015,"Circuit de Spa-Francorchamps",34,34,112416,1
2015,"Circuit Gilles Villeneuve",42,42,76987,1
2015,"Circuit of the Americas",49,49,100666,1
2015,Hungaroring,68,68,84821,1
2015,"Marina Bay Street Circuit",52,52,110041,1
2015,"Red Bull Ring",35,35,71235,1
2015,"Sepang International Circuit",43,43,102062,1
2015,"Shanghai International Circuit",31,31,102208,1
2015,"Sochi Autodrom",51,51,100071,1
2015,"Suzuka Circuit",33,33,96145,1
2015,"Yas Marina Circuit",44,44,104517,1
2016,"Albert Park Grand Prix Circuit",49,49,88997,1
2016,"Autódromo Hermanos Rodríguez",53,53,81134,1
2016,"Autódromo José Carlos Pace",67,67,85305,1
2016,"Bahrain International Circuit",41,41,94482,1
2016,"Baku City Circuit",48,48,106485,1
2016,"Circuit de Monaco",71,71,77939,1
2016,"Circuit de Spa-Francorchamps",40,40,111583,1
2016,"Circuit Gilles Villeneuve",60,60,75599,1
2016,"Circuit of the Americas",55,55,99877,1
2016,Hockenheimring,48,48,78442,1
2016,Hungaroring,52,52,83086,1
2016,"Marina Bay Street Circuit",49,49,107187,1
2016,"Red Bull Ring",67,67,68411,1
2016,"Sepang International Circuit",44,44,96424,1
2016,"Silverstone Circuit",44,44,95548,1
2016,"Sochi Autodrom",52,52,99094,1
2016,"Suzuka Circuit",36,36,95118,1
2016,"Yas Marina Circuit",43,43,103729,1
2017,"Albert Park Grand Prix Circuit",56,56,86538,1
2017,"Autódromo Hermanos Rodríguez",68,68,78785,1
2017,"Autódromo José Carlos Pace",64,64,71044,1
2017,"Autodromo Nazionale di Monza",49,49,83361,1
2017,"Bahrain International Circuit",46,46,92798,1
2017,"Baku City Circuit",47,47,103441,1
2017,"Circuit de Barcelona-Catalunya",64,64,83593,1
2017,"Circuit de Monaco",76,76,74820,1
2017,"Circuit de Spa-Francorchamps",41,41,106577,1
2017,"Circuit Gilles Villeneuve",64,64,74551,1
2017,"Circuit of the Americas",51,51,97766,1
2017,Hungaroring,69,69,80182,1
2017,"Marina Bay Street Circuit",55,55,105008,1
2017,"Red Bull Ring",69,69,67411,1
2017,"Sepang International Circuit",41,41,94080,1
2017,"Shanghai International Circuit",44,44,95378,1
2017,"Silverstone Circuit",48,48,90621,1
2017,"Sochi Autodrom",49,49,96844,1
2017,"Suzuka Circuit",50,50,93144,1
2017,"Yas Marina Circuit",52,52,100650,1
2018,"Albert Park Grand Prix Circuit",54,54,85945,1
2018,"Autódromo José Carlos Pace",65,65,70540,1
2018,"Autodromo Nazionale di Monza",30,30,82497,1
2018,"Bahrain International Circuit",22,22,93740,1
2018,"Circuit de Barcelona-Catalunya",61,61,78441,1
2018,"Circuit de Monaco",60,60,74260,1
2018,"Circuit de Spa-Francorchamps",32,32,106286,1
2018,"Circuit Gilles Villeneuve",65,65,73864,1
2018,"Circuit of the Americas",40,40,97392,1
2018,"Circuit Paul Ricard",41,41,94225,1
2018,Hockenheimring,66,66,75545,1
2018,Hungaroring,46,46,80012,1
2018,"Red Bull Ring",71,71,66957,1
2018,"Shanghai International Circuit",55,55,95785,1
2018,"Silverstone Circuit",47,47,90696,1
2018,"Sochi Autodrom",50,50,95861,1
2018,"Suzuka Circuit",53,53,92318,1
2018,"Yas Marina Circuit",54,54,100867,1
2019,"Albert Park Grand Prix Circuit",57,57,85580,1
2019,"Autódromo Hermanos Rodríguez",53,53,79232,1
2019,"Autodromo Nazionale di Monza",51,51,81779,1
2019,"Bahrain International Circuit",38,38,93411,1
2019,"Baku City Circuit",50,50,103009,1
2019,"Circuit de Barcelona-Catalunya",54,54,78492,1
2019,"Circuit de Monaco",72,72,74279,1
2019,"Circuit de Spa-Francorchamps",36,36,106409,1
2019,"Circuit Gilles Villeneuve",69,69,73078,1
2019,"Circuit of the Americas",44,44,96169,1
2019,"Circuit Paul Ricard",53,53,92740,1
2019,Hockenheimring,61,61,76645,1
2019,Hungaroring,69,69,77103,1
2019,"Marina Bay Street Circuit",58,58,102301,1
2019,"Red Bull Ring",60,60,67475,1
2019,"Shanghai International Circuit",55,55,94742,1
2019,"Silverstone Circuit",52,52,87369,1
2019,"Sochi Autodrom",51,51,95761,1
2019,"Suzuka Circuit",45,45,90983,1
2019,"Yas Marina Circuit",53,53,99283,1
2020,"Autodromo Enzo e Dino Ferrari",63,63,75484,1
2020,"Autódromo Internacional do Algarve",63,63,78750,1
2020,"Autodromo Internazionale del Mugello",58,58,78833,1
2020,"Autodromo Nazionale di Monza",34,34,82746,1
2020,"Bahrain International Circuit",80,80,55404,1
2020,"Bahrain International Circuit",48,48,92014,1
2020,"Circuit de Barcelona-Catalunya",66,66,78183,1
2020,"Circuit de Spa-Francorchamps",44,44,107483,1
2020,Hungaroring,70,70,76627,1
2020,"Istanbul Park",58,58,96806,1
2020,Nürburgring,60,60,88139,1
2020,"Red Bull Ring",71,71,67475,1
2020,"Red Bull Ring",68,68,65619,1
2020,"Silverstone Circuit",52,52,87097,1
2020,"Silverstone Circuit",43,43,88451,1
2020,"Sochi Autodrom",51,51,97030,1
2020,"Yas Marina Circuit",55,55,100926,1
2021,"Autodromo Enzo e Dino Ferrari",60,60,76702,1
2021,"Autódromo Internacional do Algarve",66,66,79849,1
2021,"Autódromo José Carlos Pace",71,71,71010,1
2021,"Autodromo Nazionale di Monza",53,53,84812,1
2021,"Bahrain International Circuit",56,56,92090,1
2021,"Baku City Circuit",44,44,104481,1
2021,"Circuit de Barcelona-Catalunya",62,62,78149,1
2021,"Circuit de Monaco",69,69,72909,1
2021,"Circuit of the Americas",41,41,98485,1
2021,"Circuit Park Zandvoort",72,72,71097,1
2021,"Circuit Paul Ricard",35,35,96404,1
2021,Hungaroring,70,70,78394,1
2021,"Istanbul Park",58,58,90432,1
2021,"Jeddah Corniche Circuit",47,47,90734,1
2021,"Losail International Circuit",57,57,83196,1
2021,"Red Bull Ring",71,71,67058,1
2021,"Red Bull Ring",62,62,66200,1
2021,"Sochi Autodrom",39,39,97423,1
2021,"Yas Marina Circuit",39,39,86103,1
2022,"Albert Park Grand Prix Circuit",58,58,80260,1
2022,"Autodromo Enzo e Dino Ferrari",55,55,78446,1
2022,"Autódromo Hermanos Rodríguez",71,71,80153,1
2022,"Autódromo José Carlos Pace",61,61,73785,1
2022,"Autodromo Nazionale di Monza",46,46,84030,1
2022,"Bahrain International Circuit",51,51,94570,1
2022,"Baku City Circuit",36,36,106046,1
2022,"Circuit de Barcelona-Catalunya",55,55,84108,1
2022,"Circuit de Monaco",55,55,74693,1
2022,"Circuit de Spa-Francorchamps",32,32,109354,1
2022,"Circuit Gilles Villeneuve",63,63,75749,1
2022,"Circuit of the Americas",56,56,98788,1
2022,"Circuit Park Zandvoort",62,62,73652,1
2022,"Circuit Paul Ricard",51,51,95781,1
2022,Hungaroring,57,57,81386,1
2022,"Jeddah Corniche Circuit",48,48,91634,1
2022,"Marina Bay Street Circuit",54,54,106458,1
2022,"Miami International Autodrome",54,54,91361,1
2022,"Red Bull Ring",62,62,67275,1
2022,"Silverstone Circuit",52,52,90510,1
2022,"Suzuka Circuit",20,20,104411,1
2022,"Yas Marina Circuit",44,44,88391,1
