constructor,avglap,year,circuit,podium
"Red Bull",106903.20,2016,"Shanghai International Circuit",0
McLaren,107783.59,2016,"Shanghai International Circuit",0
Williams,107310.75,2016,"Shanghai International Circuit",0
Mercedes,107359.30,2016,"Shanghai International Circuit",0
Ferrari,107138.63,2016,"Shanghai International Circuit",0
McLaren,107699.00,2016,"Shanghai International Circuit",0
"Force India",107645.96,2016,"Shanghai International Circuit",0
Williams,107501.48,2016,"Shanghai International Circuit",0
"Toro Rosso",107464.61,2016,"Shanghai International Circuit",0
Ferrari,104685.86,2017,"Shanghai International Circuit",1
Ferrari,105432.75,2017,"Shanghai International Circuit",0
"Red Bull",105396.30,2017,"Shanghai International Circuit",0
"Toro Rosso",105875.91,2017,"Shanghai International Circuit",0
Mercedes,105445.82,2017,"Shanghai International Circuit",0
"Red Bull",105381.25,2017,"Shanghai International Circuit",1
Mercedes,104574.25,2017,"Shanghai International Circuit",1
Renault,102811.29,2018,"Shanghai International Circuit",0
Sauber,103909.91,2018,"Shanghai International Circuit",0
"Toro Rosso",103619.82,2018,"Shanghai International Circuit",0
McLaren,103317.02,2018,"Shanghai International Circuit",0
"Force India",103234.02,2018,"Shanghai International Circuit",0
"Force India",103221.96,2018,"Shanghai International Circuit",0
"Haas F1 Team",103142.39,2018,"Shanghai International Circuit",0
Mercedes,102738.66,2018,"Shanghai International Circuit",0
Ferrari,102607.45,2018,"Shanghai International Circuit",1
Mercedes,102594.18,2018,"Shanghai International Circuit",1
"Red Bull",102435.36,2018,"Shanghai International Circuit",1
Renault,103073.98,2018,"Shanghai International Circuit",0
Ferrari,103065.46,2018,"Shanghai International Circuit",0
McLaren,102982.48,2018,"Shanghai International Circuit",0
Williams,103426.25,2018,"Shanghai International Circuit",0
Williams,103475.38,2018,"Shanghai International Circuit",0
Sauber,103553.29,2018,"Shanghai International Circuit",0
"Haas F1 Team",103601.36,2018,"Shanghai International Circuit",0
"Red Bull",102800.29,2018,"Shanghai International Circuit",0
Ferrari,98930.79,2019,"Shanghai International Circuit",1
Mercedes,98801.82,2019,"Shanghai International Circuit",1
Mercedes,98684.82,2019,"Shanghai International Circuit",1
"Red Bull",100279.59,2019,"Shanghai International Circuit",0
Ferrari,99243.32,2019,"Shanghai International Circuit",0
"Red Bull",99178.16,2019,"Shanghai International Circuit",0
"Force India",171168.96,2014,"Silverstone Circuit",0
McLaren,170666.48,2014,"Silverstone Circuit",0
Ferrari,170616.15,2014,"Silverstone Circuit",0
"Red Bull",170357.48,2014,"Silverstone Circuit",1
Mercedes,169463.35,2014,"Silverstone Circuit",1
Williams,170042.87,2014,"Silverstone Circuit",1
McLaren,170374.69,2014,"Silverstone Circuit",0
"Red Bull",170499.19,2014,"Silverstone Circuit",0
"Toro Rosso",171181.42,2014,"Silverstone Circuit",0
Williams,106241.69,2015,"Silverstone Circuit",0
Williams,106748.52,2015,"Silverstone Circuit",0
"Red Bull",106763.15,2015,"Silverstone Circuit",0
"Force India",107047.56,2015,"Silverstone Circuit",0
Ferrari,106022.54,2015,"Silverstone Circuit",1
Mercedes,105743.94,2015,"Silverstone Circuit",1
Mercedes,105533.25,2015,"Silverstone Circuit",1
Mercedes,109535.21,2016,"Silverstone Circuit",1
Mercedes,109860.42,2016,"Silverstone Circuit",1
"Red Bull",110039.27,2016,"Silverstone Circuit",0
"Force India",111014.85,2016,"Silverstone Circuit",0
"Force India",111029.67,2016,"Silverstone Circuit",0
"Toro Rosso",111186.33,2016,"Silverstone Circuit",0
Ferrari,111297.79,2016,"Silverstone Circuit",0
Ferrari,110876.42,2016,"Silverstone Circuit",0
"Red Bull",109693.87,2016,"Silverstone Circuit",1
"Toro Rosso",111315.98,2016,"Silverstone Circuit",0
Ferrari,97674.88,2017,"Silverstone Circuit",0
Renault,97167.43,2017,"Silverstone Circuit",0
Mercedes,95831.96,2017,"Silverstone Circuit",1
Mercedes,96107.71,2017,"Silverstone Circuit",1
Ferrari,96549.02,2017,"Silverstone Circuit",1
"Red Bull",97125.20,2017,"Silverstone Circuit",0
"Red Bull",96854.02,2017,"Silverstone Circuit",0
Ferrari,101027.62,2018,"Silverstone Circuit",1
Mercedes,101000.92,2018,"Silverstone Circuit",1
"Red Bull",101140.08,2018,"Silverstone Circuit",0
"Haas F1 Team",101595.62,2018,"Silverstone Circuit",0
Williams,101882.63,2018,"Silverstone Circuit",0
Williams,101690.19,2018,"Silverstone Circuit",0
McLaren,101645.35,2018,"Silverstone Circuit",0
"Force India",101624.85,2018,"Silverstone Circuit",0
McLaren,101555.75,2018,"Silverstone Circuit",0
"Force India",101532.96,2018,"Silverstone Circuit",0
Renault,101500.08,2018,"Silverstone Circuit",0
Mercedes,101128.21,2018,"Silverstone Circuit",0
"Toro Rosso",101709.87,2018,"Silverstone Circuit",0
Ferrari,100957.38,2018,"Silverstone Circuit",1
"Red Bull",94291.23,2019,"Silverstone Circuit",0
Ferrari,94203.25,2019,"Silverstone Circuit",1
Mercedes,94103.46,2019,"Silverstone Circuit",1
Mercedes,93624.08,2019,"Silverstone Circuit",1
"Red Bull",94382.88,2019,"Silverstone Circuit",0
McLaren,94655.60,2019,"Silverstone Circuit",0
Renault,95022.79,2019,"Silverstone Circuit",0
"Racing Point",95183.42,2019,"Silverstone Circuit",0
Renault,94670.25,2019,"Silverstone Circuit",0
"Alfa Romeo",94884.46,2019,"Silverstone Circuit",0
"Toro Rosso",94907.15,2019,"Silverstone Circuit",0
McLaren,95052.56,2019,"Silverstone Circuit",0
"Toro Rosso",95078.25,2019,"Silverstone Circuit",0
Ferrari,93372.37,2020,"Silverstone Circuit",0
McLaren,93385.83,2020,"Silverstone Circuit",0
Ferrari,101918.40,2020,"Silverstone Circuit",1
Mercedes,101563.13,2020,"Silverstone Circuit",1
"Red Bull",101675.75,2020,"Silverstone Circuit",1
Renault,101941.02,2020,"Silverstone Circuit",0
McLaren,101991.54,2020,"Silverstone Circuit",0
Renault,102081.15,2020,"Silverstone Circuit",0
AlphaTauri,102162.90,2020,"Silverstone Circuit",0
"Red Bull",102191.40,2020,"Silverstone Circuit",0
Ferrari,102368.08,2020,"Silverstone Circuit",0
Mercedes,102374.04,2020,"Silverstone Circuit",0
Williams,102563.21,2020,"Silverstone Circuit",0
"Racing Point",102280.65,2020,"Silverstone Circuit",0
McLaren,102589.48,2020,"Silverstone Circuit",0
"Alfa Romeo",102605.54,2020,"Silverstone Circuit",0
Williams,102612.15,2020,"Silverstone Circuit",0
"Haas F1 Team",102621.79,2020,"Silverstone Circuit",0
"Red Bull",91961.40,2020,"Silverstone Circuit",1
Mercedes,92179.21,2020,"Silverstone Circuit",1
Mercedes,92331.23,2020,"Silverstone Circuit",1
Ferrari,92524.65,2020,"Silverstone Circuit",0
"Red Bull",92714.21,2020,"Silverstone Circuit",0
"Racing Point",92779.44,2020,"Silverstone Circuit",0
"Racing Point",93037.38,2020,"Silverstone Circuit",0
Renault,93207.04,2020,"Silverstone Circuit",0
McLaren,93221.87,2020,"Silverstone Circuit",0
AlphaTauri,93301.19,2020,"Silverstone Circuit",0
AlphaTauri,93319.90,2020,"Silverstone Circuit",0
AlphaTauri,138242.52,2021,"Silverstone Circuit",0
AlphaTauri,138179.79,2021,"Silverstone Circuit",0
Ferrari,136676.06,2021,"Silverstone Circuit",1
Mercedes,136815.56,2021,"Silverstone Circuit",1
McLaren,137151.10,2021,"Silverstone Circuit",0
McLaren,137421.31,2021,"Silverstone Circuit",0
Ferrari,137437.27,2021,"Silverstone Circuit",0
"Aston Martin",138030.25,2021,"Silverstone Circuit",0
"Alpine F1 Team",138066.27,2021,"Silverstone Circuit",0
"Alpine F1 Team",137988.02,2021,"Silverstone Circuit",0
Mercedes,136601.62,2021,"Silverstone Circuit",1
"Haas F1 Team",159517.33,2022,"Silverstone Circuit",0
"Aston Martin",159474.37,2022,"Silverstone Circuit",0
Ferrari,159044.44,2022,"Silverstone Circuit",1
"Aston Martin",159547.27,2022,"Silverstone Circuit",0
Williams,159669.65,2022,"Silverstone Circuit",0
McLaren,159675.54,2022,"Silverstone Circuit",0
"Red Bull",159117.12,2022,"Silverstone Circuit",1
Mercedes,159164.15,2022,"Silverstone Circuit",1
Ferrari,159208.79,2022,"Silverstone Circuit",0
"Alpine F1 Team",159228.50,2022,"Silverstone Circuit",0
McLaren,159274.12,2022,"Silverstone Circuit",0
"Red Bull",159405.54,2022,"Silverstone Circuit",0
"Haas F1 Team",159409.73,2022,"Silverstone Circuit",0
AlphaTauri,159831.17,2022,"Silverstone Circuit",0
Williams,104305.08,2014,"Sochi Autodrom",1
Mercedes,104233.98,2014,"Sochi Autodrom",1
Mercedes,103976.30,2014,"Sochi Autodrom",1
"Toro Rosso",105812.06,2014,"Sochi Autodrom",0
"Force India",105510.43,2014,"Sochi Autodrom",0
Williams,105502.28,2014,"Sochi Autodrom",0
"Force India",105487.00,2014,"Sochi Autodrom",0
Ferrari,105464.55,2014,"Sochi Autodrom",0
"Red Bull",105225.08,2014,"Sochi Autodrom",0
"Red Bull",105142.57,2014,"Sochi Autodrom",0
Ferrari,105108.68,2014,"Sochi Autodrom",0
McLaren,104987.92,2014,"Sochi Autodrom",0
McLaren,104546.75,2014,"Sochi Autodrom",0
Mercedes,110019.32,2015,"Sochi Autodrom",1
Ferrari,110131.64,2015,"Sochi Autodrom",1
"Force India",110564.94,2015,"Sochi Autodrom",1
Williams,110751.98,2015,"Sochi Autodrom",0
"Red Bull",110916.79,2015,"Sochi Autodrom",0
McLaren,111740.26,2015,"Sochi Autodrom",0
Ferrari,111384.57,2015,"Sochi Autodrom",0
"Lotus F1",111171.92,2015,"Sochi Autodrom",0
Sauber,111085.51,2015,"Sochi Autodrom",0
McLaren,111518.70,2015,"Sochi Autodrom",0
"Toro Rosso",111687.70,2015,"Sochi Autodrom",0
Ferrari,105547.08,2016,"Sochi Autodrom",1
Mercedes,105415.45,2016,"Sochi Autodrom",1
Williams,106347.62,2016,"Sochi Autodrom",0
Mercedes,104943.34,2016,"Sochi Autodrom",1
Williams,105890.83,2016,"Sochi Autodrom",0
Mercedes,102405.06,2017,"Sochi Autodrom",0
Mercedes,101706.60,2017,"Sochi Autodrom",1
Ferrari,101718.46,2017,"Sochi Autodrom",1
Ferrari,101918.13,2017,"Sochi Autodrom",1
Renault,103556.37,2017,"Sochi Autodrom",0
"Force India",103533.60,2017,"Sochi Autodrom",0
"Force India",103375.60,2017,"Sochi Autodrom",0
"Red Bull",102868.44,2017,"Sochi Autodrom",0
Ferrari,99277.81,2018,"Sochi Autodrom",0
"Red Bull",99550.89,2018,"Sochi Autodrom",0
"Red Bull",100483.62,2018,"Sochi Autodrom",0
Mercedes,98965.68,2018,"Sochi Autodrom",1
Ferrari,99106.94,2018,"Sochi Autodrom",1
Mercedes,99013.70,2018,"Sochi Autodrom",1
Sauber,100822.09,2018,"Sochi Autodrom",0
McLaren,106884.55,2019,"Sochi Autodrom",0
"Racing Point",106938.11,2019,"Sochi Autodrom",0
"Toro Rosso",107197.89,2019,"Sochi Autodrom",0
"Haas F1 Team",107127.75,2019,"Sochi Autodrom",0
Renault,107147.79,2019,"Sochi Autodrom",0
"Racing Point",107166.28,2019,"Sochi Autodrom",0
"Alfa Romeo",107318.91,2019,"Sochi Autodrom",0
"Toro Rosso",107340.91,2019,"Sochi Autodrom",0
"Alfa Romeo",107402.60,2019,"Sochi Autodrom",0
"Red Bull",106742.26,2019,"Sochi Autodrom",0
McLaren,107108.32,2019,"Sochi Autodrom",0
Mercedes,106018.72,2019,"Sochi Autodrom",1
Mercedes,106090.96,2019,"Sochi Autodrom",1
Ferrari,106117.06,2019,"Sochi Autodrom",1
"Red Bull",106286.83,2019,"Sochi Autodrom",0
Renault,107705.09,2020,"Sochi Autodrom",0
AlphaTauri,108115.66,2020,"Sochi Autodrom",0
AlphaTauri,107718.94,2020,"Sochi Autodrom",0
"Red Bull",108268.38,2020,"Sochi Autodrom",0
Mercedes,106850.81,2020,"Sochi Autodrom",1
"Racing Point",106998.53,2020,"Sochi Autodrom",0
"Red Bull",106567.79,2020,"Sochi Autodrom",1
Mercedes,106421.96,2020,"Sochi Autodrom",1
Renault,107404.32,2020,"Sochi Autodrom",0
Ferrari,107595.28,2020,"Sochi Autodrom",0
"Red Bull",104359.94,2021,"Sochi Autodrom",0
McLaren,103898.26,2021,"Sochi Autodrom",0
Mercedes,103934.60,2021,"Sochi Autodrom",0
"Alpine F1 Team",104194.75,2021,"Sochi Autodrom",0
McLaren,104306.13,2021,"Sochi Autodrom",0
"Alfa Romeo",104338.79,2021,"Sochi Autodrom",0
"Red Bull",103665.51,2021,"Sochi Autodrom",1
Ferrari,103839.17,2021,"Sochi Autodrom",1
Mercedes,102660.40,2021,"Sochi Autodrom",1
Williams,104557.58,2021,"Sochi Autodrom",0
"Aston Martin",104664.13,2021,"Sochi Autodrom",0
"Toro Rosso",155242.25,2014,"Suzuka Circuit",0
Mercedes,152341.39,2014,"Suzuka Circuit",1
Mercedes,152550.02,2014,"Suzuka Circuit",1
"Red Bull",153003.25,2014,"Suzuka Circuit",1
"Red Bull",153223.61,2014,"Suzuka Circuit",0
McLaren,153876.61,2014,"Suzuka Circuit",0
Williams,154927.14,2014,"Suzuka Circuit",0
Williams,154957.89,2014,"Suzuka Circuit",0
"Force India",154976.57,2014,"Suzuka Circuit",0
Mercedes,99745.43,2015,"Suzuka Circuit",1
"Force India",100793.72,2015,"Suzuka Circuit",0
Williams,100438.75,2015,"Suzuka Circuit",0
Ferrari,100382.57,2015,"Suzuka Circuit",0
Ferrari,100138.83,2015,"Suzuka Circuit",1
Mercedes,100103.25,2015,"Suzuka Circuit",1
"Lotus F1",101133.64,2015,"Suzuka Circuit",0
"Lotus F1",101109.55,2015,"Suzuka Circuit",0
"Toro Rosso",101543.83,2015,"Suzuka Circuit",0
"Haas F1 Team",100048.81,2016,"Suzuka Circuit",0
Williams,100031.25,2016,"Suzuka Circuit",0
Williams,100020.68,2016,"Suzuka Circuit",0
"Force India",99292.64,2016,"Suzuka Circuit",0
"Force India",99260.91,2016,"Suzuka Circuit",0
"Red Bull",98816.49,2016,"Suzuka Circuit",0
"Red Bull",98270.02,2016,"Suzuka Circuit",1
Mercedes,98176.09,2016,"Suzuka Circuit",1
Ferrari,98711.38,2016,"Suzuka Circuit",0
Ferrari,98558.53,2016,"Suzuka Circuit",0
Mercedes,98285.08,2016,"Suzuka Circuit",1
Mercedes,99079.13,2017,"Suzuka Circuit",1
"Red Bull",99101.98,2017,"Suzuka Circuit",1
"Red Bull",99261.75,2017,"Suzuka Circuit",1
Mercedes,99278.75,2017,"Suzuka Circuit",0
Ferrari,99694.64,2017,"Suzuka Circuit",0
"Force India",100358.15,2017,"Suzuka Circuit",0
"Force India",100426.75,2017,"Suzuka Circuit",0
"Haas F1 Team",100757.49,2017,"Suzuka Circuit",0
"Haas F1 Team",100775.04,2017,"Suzuka Circuit",0
"Force India",100473.91,2018,"Suzuka Circuit",0
Ferrari,99774.72,2018,"Suzuka Circuit",0
Mercedes,99056.25,2018,"Suzuka Circuit",1
"Red Bull",99082.21,2018,"Suzuka Circuit",1
Mercedes,98812.49,2018,"Suzuka Circuit",1
"Red Bull",99180.32,2018,"Suzuka Circuit",0
Ferrari,100130.85,2018,"Suzuka Circuit",0
"Force India",100310.21,2018,"Suzuka Circuit",0
"Haas F1 Team",100457.74,2018,"Suzuka Circuit",0
McLaren,95689.54,2019,"Suzuka Circuit",0
"Red Bull",95505.62,2019,"Suzuka Circuit",0
Mercedes,94360.67,2019,"Suzuka Circuit",1
Ferrari,94617.27,2019,"Suzuka Circuit",1
Mercedes,94627.17,2019,"Suzuka Circuit",1
"Aston Martin",391084.36,2022,"Suzuka Circuit",0
"Alpine F1 Team",391084.75,2022,"Suzuka Circuit",0
"Aston Martin",392068.14,2022,"Suzuka Circuit",0
"Haas F1 Team",392733.11,2022,"Suzuka Circuit",0
AlphaTauri,393289.11,2022,"Suzuka Circuit",0
"Alpine F1 Team",390846.04,2022,"Suzuka Circuit",0
"Alfa Romeo",392537.39,2022,"Suzuka Circuit",0
"Alfa Romeo",392517.86,2022,"Suzuka Circuit",0
"Haas F1 Team",392500.71,2022,"Suzuka Circuit",0
Mercedes,391130.89,2022,"Suzuka Circuit",0
AlphaTauri,392128.68,2022,"Suzuka Circuit",0
McLaren,392031.46,2022,"Suzuka Circuit",0
McLaren,391956.64,2022,"Suzuka Circuit",0
Williams,391933.82,2022,"Suzuka Circuit",0
"Red Bull",389428.71,2022,"Suzuka Circuit",1
"Red Bull",390395.36,2022,"Suzuka Circuit",1
Ferrari,390563.11,2022,"Suzuka Circuit",1
Mercedes,390868.93,2022,"Suzuka Circuit",0
"Force India",109339.62,2014,"Yas Marina Circuit",0
"Red Bull",109357.53,2014,"Yas Marina Circuit",0
Ferrari,109607.85,2014,"Yas Marina Circuit",0
Ferrari,109644.35,2014,"Yas Marina Circuit",0
McLaren,109690.82,2014,"Yas Marina Circuit",0
"Toro Rosso",109719.38,2014,"Yas Marina Circuit",0
Mercedes,108047.62,2014,"Yas Marina Circuit",1
Williams,108094.45,2014,"Yas Marina Circuit",1
McLaren,109144.60,2014,"Yas Marina Circuit",0
"Force India",109177.58,2014,"Yas Marina Circuit",0
"Red Bull",108724.65,2014,"Yas Marina Circuit",0
Williams,108572.71,2014,"Yas Marina Circuit",1
"Red Bull",108639.73,2015,"Yas Marina Circuit",0
Ferrari,107811.00,2015,"Yas Marina Circuit",1
Ferrari,108252.91,2015,"Yas Marina Circuit",0
"Force India",108620.49,2015,"Yas Marina Circuit",0
"Red Bull",109319.02,2015,"Yas Marina Circuit",0
Mercedes,107608.11,2015,"Yas Marina Circuit",1
"Force India",109159.87,2015,"Yas Marina Circuit",0
"Lotus F1",109243.20,2015,"Yas Marina Circuit",0
Williams,109235.02,2015,"Yas Marina Circuit",0
"Toro Rosso",109340.00,2015,"Yas Marina Circuit",0
Mercedes,107457.73,2015,"Yas Marina Circuit",1
Ferrari,107324.16,2016,"Yas Marina Circuit",0
"Force India",108050.71,2016,"Yas Marina Circuit",0
Mercedes,106982.05,2016,"Yas Marina Circuit",1
Mercedes,106990.04,2016,"Yas Marina Circuit",1
"Force India",107893.22,2016,"Yas Marina Circuit",0
McLaren,108071.07,2016,"Yas Marina Circuit",0
"Haas F1 Team",108711.38,2016,"Yas Marina Circuit",0
Williams,108062.71,2016,"Yas Marina Circuit",0
"Haas F1 Team",108378.00,2016,"Yas Marina Circuit",0
"Red Bull",107012.69,2016,"Yas Marina Circuit",0
Ferrari,106997.38,2016,"Yas Marina Circuit",1
"Red Bull",107078.69,2016,"Yas Marina Circuit",0
"Force India",104474.98,2017,"Yas Marina Circuit",0
Renault,104359.55,2017,"Yas Marina Circuit",0
"Force India",104599.51,2017,"Yas Marina Circuit",0
"Red Bull",103642.38,2017,"Yas Marina Circuit",0
Ferrari,103626.33,2017,"Yas Marina Circuit",0
Ferrari,103152.58,2017,"Yas Marina Circuit",1
Mercedes,102801.13,2017,"Yas Marina Circuit",1
Mercedes,102872.02,2017,"Yas Marina Circuit",1
Mercedes,108734.22,2018,"Yas Marina Circuit",1
"Force India",110393.76,2018,"Yas Marina Circuit",0
Sauber,110384.93,2018,"Yas Marina Circuit",0
Renault,110053.27,2018,"Yas Marina Circuit",0
Mercedes,109606.16,2018,"Yas Marina Circuit",0
"Red Bull",109013.84,2018,"Yas Marina Circuit",0
"Red Bull",108965.24,2018,"Yas Marina Circuit",1
Ferrari,108781.15,2018,"Yas Marina Circuit",1
"Red Bull",103907.64,2019,"Yas Marina Circuit",0
Ferrari,103819.49,2019,"Yas Marina Circuit",0
Mercedes,103456.25,2019,"Yas Marina Circuit",0
"Red Bull",102954.31,2019,"Yas Marina Circuit",1
Mercedes,102649.36,2019,"Yas Marina Circuit",1
Ferrari,103439.09,2019,"Yas Marina Circuit",1
"Red Bull",105611.49,2020,"Yas Marina Circuit",0
Mercedes,105582.91,2020,"Yas Marina Circuit",1
Mercedes,105538.56,2020,"Yas Marina Circuit",1
"Red Bull",105248.09,2020,"Yas Marina Circuit",1
Renault,106588.96,2020,"Yas Marina Circuit",0
McLaren,106441.95,2020,"Yas Marina Circuit",0
McLaren,106352.25,2020,"Yas Marina Circuit",0
"Racing Point",105278.44,2020,"Yas Marina Circuit",0
Renault,105454.47,2020,"Yas Marina Circuit",0
AlphaTauri,106879.33,2020,"Yas Marina Circuit",0
"Red Bull",93402.50,2021,"Yas Marina Circuit",1
Ferrari,93491.69,2021,"Yas Marina Circuit",1
AlphaTauri,93500.64,2021,"Yas Marina Circuit",0
AlphaTauri,93515.10,2021,"Yas Marina Circuit",0
Mercedes,93531.17,2021,"Yas Marina Circuit",0
McLaren,94423.19,2021,"Yas Marina Circuit",0
Mercedes,93441.40,2021,"Yas Marina Circuit",1
"Alpine F1 Team",94466.43,2021,"Yas Marina Circuit",0
"Alpine F1 Team",94506.40,2021,"Yas Marina Circuit",0
Ferrari,94541.41,2021,"Yas Marina Circuit",0
"Aston Martin",94566.76,2021,"Yas Marina Circuit",0
"Red Bull",90791.62,2022,"Yas Marina Circuit",1
Ferrari,90942.84,2022,"Yas Marina Circuit",1
"Red Bull",90965.64,2022,"Yas Marina Circuit",1
Ferrari,91220.79,2022,"Yas Marina Circuit",0
Mercedes,91410.38,2022,"Yas Marina Circuit",0
McLaren,91761.17,2022,"Yas Marina Circuit",0
"Alpine F1 Team",91778.52,2022,"Yas Marina Circuit",0
"Aston Martin",92118.02,2022,"Yas Marina Circuit",0
McLaren,92227.28,2022,"Yas Marina Circuit",0
"Aston Martin",92238.14,2022,"Yas Marina Circuit",0
AlphaTauri,92332.50,2022,"Yas Marina Circuit",0
